gene_symbol	gene_code	associations	mean_prediction
ALS2CL	HGNC:20605	0	 0.095
ALS2CR11	HGNC:14438	0	 0.087
ALS2CR12	HGNC:14439	0	 0.088
ALX1	HGNC:1494	0	 0.103
ALX3	HGNC:449	0	 0.095
ALX4	HGNC:450	0	 0.100
ALYREF	HGNC:19071	0	 0.101
AMACR	HGNC:451	0	 0.097
AMBN	HGNC:452	0	 0.095
AMBP	HGNC:453	0	 0.110
AMBRA1	HGNC:25990	0	 0.095
AMD1	HGNC:457	0	 0.123
AMDHD1	HGNC:28577	0	 0.089
AMDHD2	HGNC:24262	0	 0.091
AMELX	HGNC:461	0	 0.098
AMELY	HGNC:462	0	 0.092
AMER1	HGNC:26837	0	 0.098
AMER2	HGNC:26360	0	 0.091
AMER3	HGNC:26771	0	 0.087
AMFR	HGNC:463	0	 0.117
AMH	HGNC:464	0	 0.106
AMHR2	HGNC:465	0	 0.112
AMICA1	HGNC:19084	0	 0.104
AMIGO1	HGNC:20824	0	 0.101
AMIGO2	HGNC:24073	0	 0.115
AMIGO3	HGNC:24075	0	 0.086
AMMECR1	HGNC:467	0	 0.113
AMMECR1L	HGNC:28658	0	 0.103
AMN	HGNC:14604	0	 0.119
AMN1	HGNC:27281	0	 0.089
AMOT	HGNC:17810	0	 0.116
AMOTL1	HGNC:17811	0	 0.099
AMOTL2	HGNC:17812	0	 0.114
AMPD1	HGNC:468	0	 0.102
AMPD2	HGNC:469	0	 0.113
AMPD3	HGNC:470	0	 0.113
AMPH	HGNC:471	0	 0.134
AMT	HGNC:473	0	 0.104
AMTN	HGNC:33188	0	 0.091
AMY1A	HGNC:474	0	 0.090
AMY1B	HGNC:475	0	 0.087
AMY1C	HGNC:476	0	 0.085
AMY2A	HGNC:477	0	 0.096
AMY2B	HGNC:478	0	 0.092
AMZ1	HGNC:22231	0	 0.089
AMZ2	HGNC:28041	0	 0.101
ANAPC1	HGNC:19988	0	 0.103
ANAPC10	HGNC:24077	0	 0.112
ANAPC11	HGNC:14452	0	 0.115
ANAPC13	HGNC:24540	0	 0.107
ANAPC15	HGNC:24531	0	 0.098
ANAPC16	HGNC:26976	0	 0.096
ANAPC2	HGNC:19989	0	 0.108
ANAPC4	HGNC:19990	0	 0.106
ANAPC5	HGNC:15713	0	 0.123
ANAPC7	HGNC:17380	0	 0.104
ANG	HGNC:483	0	 0.119
ANGEL1	HGNC:19961	0	 0.102
ANGEL2	HGNC:30534	0	 0.098
ANGPT1	HGNC:484	0	 0.132
ANGPT2	HGNC:485	0	 0.116
ANGPT4	HGNC:487	0	 0.096
ANGPTL1	HGNC:489	0	 0.102
ANGPTL2	HGNC:490	0	 0.117
ANGPTL3	HGNC:491	0	 0.105
ANGPTL4	HGNC:16039	0	 0.133
ANGPTL5	HGNC:19705	0	 0.086
ANGPTL6	HGNC:23140	0	 0.090
ANGPTL7	HGNC:24078	0	 0.097
ANHX	HGNC:40024	0	 0.083
ANK1	HGNC:492	1	 0.229
ANK2	HGNC:493	0	 0.116
ANK3	HGNC:494	1	 0.281
ANKAR	HGNC:26350	0	 0.084
ANKDD1A	HGNC:28002	0	 0.087
ANKDD1B	HGNC:32525	0	 0.084
ANKEF1	HGNC:15803	0	 0.091
ANKFN1	HGNC:26766	0	 0.087
ANKFY1	HGNC:20763	0	 0.104
ANKH	HGNC:15492	0	 0.116
ANKHD1	HGNC:24714	0	 0.102
ANKIB1	HGNC:22215	0	 0.090
ANKK1	HGNC:21027	0	 0.083
ANKLE1	HGNC:26812	0	 0.090
ANKLE2	HGNC:29101	0	 0.095
ANKMY1	HGNC:20987	0	 0.090
ANKMY2	HGNC:25370	0	 0.102
ANKRA2	HGNC:13208	0	 0.104
ANKRD1	HGNC:15819	0	 0.117
ANKRD10	HGNC:20265	0	 0.106
ANKRD11	HGNC:21316	0	 0.111
ANKRD12	HGNC:29135	0	 0.115
ANKRD13A	HGNC:21268	0	 0.100
ANKRD13B	HGNC:26363	0	 0.096
ANKRD13C	HGNC:25374	0	 0.097
ANKRD13D	HGNC:27880	0	 0.091
